Object Histogram:

Size	Count	Class description
12320	770	org.jruby.ast.SelfNode
11184	233	org.jruby.javasupport.JavaMethod
10824	451	sun.reflect.NativeConstructorAccessorImpl
10560	264	org.jruby.ast.AttrAssignOneArgNode
10464	436	org.jruby.ast.AndNode
10080	180	org.jruby.parser.EvalStaticScope
9800	245	org.jruby.ast.AttrAssignTwoArgNode
9672	403	org.jruby.ast.MultipleAsgnNode
9456	591	java.lang.StringBuffer
9456	394	org.jruby.ast.RegexpNode
8800	275	org.jruby.RubyRegexp
8560	484	java.security.cert.Certificate[]
8256	344	org.jruby.runtime.callsite.MinusCallSite
8192	512	org.jruby.ast.GlobalVarNode
7920	330	org.jruby.ast.OrNode
7840	245	org.jruby.util.ClassCache$KeyedClassReference
7792	487	org.jruby.javasupport.JavaClass$AssignedName
7744	484	sun.reflect.DelegatingConstructorAccessorImpl
7400	185	org.jruby.ast.FCallThreeArgNode
7344	153	org.jruby.runtime.scope.FourVarDynamicScope
7200	90	org.jruby.util.JRubyClassLoader
7200	450	java.util.HashSet
7200	300	org.jruby.RubyClass$VariableAccessor
7080	295	org.jruby.runtime.callsite.MulCallSite
6976	218	org.jruby.RubyRange
6976	218	org.jruby.util.ConvertDouble$DoubleConverter
6480	135	java.util.LinkedHashMap
6336	264	org.jruby.ast.RestArgNode
5920	148	org.jcodings.util.CaseInsensitiveBytesHash$CaseInsensitiveBytesHashEntry
5792	362	org.jruby.ast.NotNode
5592	233	org.jruby.ast.BlockArgNode
5392	337	org.jruby.ast.NthRefNode
5376	224	org.jruby.ast.BlockPassNode
5104	58	org.jruby.javasupport.JavaClass
5088	212	org.jruby.runtime.callsite.GtCallSite
5024	109	org.jruby.util.ByteList[]
4976	311	java.lang.Integer
4960	155	java.lang.ref.Finalizer
4896	102	org.jruby.internal.runtime.methods.ProcMethod
4864	304	org.jruby.ast.ZArrayNode
4848	303	java.lang.Long
4448	278	org.jruby.ast.TrueNode
4392	183	java.util.LinkedList$Entry
4368	182	org.jruby.ast.DotNode
4368	78	java.net.URL
4360	109	org.jruby.ast.CallThreeArgNode
4352	272	org.bouncycastle.asn1.ASN1ObjectIdentifier
4112	1	org.joda.time.chrono.BasicChronology$YearInfo[]
4032	72	com.kenai.jffi.Function
3968	248	org.jruby.ast.FalseNode
3960	165	rubyobj.Gem.Version
3928	159	org.jruby.RubyClass$VariableAccessor[]
3816	159	rubyobj.Gem.Requirement
3744	156	org.jruby.runtime.callsite.LtCallSite
3744	156	org.jruby.ast.ArgsCatNode
3720	155	org.jruby.runtime.CallBlock
3680	115	org.jruby.ast.CallSpecialArgBlockPassNode
3648	152	org.jruby.ast.FCallNoArgNode
3640	91	java.math.BigInteger
3584	224	org.jruby.runtime.assigner.Pre2Rest0Post0Assigner
3584	112	org.jruby.RubyProc
3552	15	long[]
3528	212	java.lang.reflect.Method[]
3296	103	org.jruby.ast.CallOneArgBlockNode
3168	132	org.jruby.runtime.callsite.SuperCallSite
3104	194	org.jruby.ast.BeginNode
3096	129	org.jruby.ast.CaseNode
3024	126	org.jruby.ast.EnsureNode
2976	93	sun.misc.URLClassPath
2928	122	org.jruby.ast.Colon3Node
2832	177	* CompilerICHolderKlass
2728	31	org.jruby.java.invokers.StaticMethodInvoker
2664	111	org.jruby.ast.FloatNode
2656	83	org.jcodings.EncodingDB$Entry
2616	109	org.jruby.ast.RescueBodyNode
2496	104	sun.security.util.ObjectIdentifier
2464	44	java.security.Provider$Service
2432	8	* TypeArrayKlassKlass
2416	151	org.jruby.RubyEnumerable$31
2376	99	org.jruby.ast.WhileNode
2368	148	org.jruby.ast.HashNode
2312	1	java.lang.String[][]
2304	96	java.security.AccessControlContext
2304	36	org.jruby.RubyModule$s$0$0$nesting
2280	95	java.util.Stack
2256	12	org.jruby.RubyFixnum[]
2232	93	org.jruby.ast.RescueNode
2136	89	java.security.Provider$ServiceKey
2064	1	org.jruby.parser.ParserState[]
2064	1	org.joda.time.tz.CachedDateTimeZone$Info[]
2040	85	org.jruby.ast.OpAsgnOrNode
2040	85	com.kenai.constantine.platform.darwin.Errno
2016	63	org.jruby.ast.WhenNode
2000	125	org.jruby.ast.ClassVarNode
1960	35	sun.reflect.DelegatingClassLoader
1920	20	java.util.jar.JarFile$JarFileEntry
1896	79	org.jruby.ast.SuperNode
1888	59	org.jruby.runtime.scope.NoVarsDynamicScope
1872	39	org.jruby.internal.runtime.methods.WrapperMethod
1824	76	org.jruby.internal.runtime.GlobalVariable
1824	57	org.jruby.runtime.CompiledBlockLight
1792	32	java.nio.DirectByteBuffer
1776	111	org.jruby.ast.NodeType
1728	54	org.jruby.ast.CallSpecialArgNode
1712	107	org.jruby.ast.SplatNode
1712	107	org.jcodings.Encoding[]
1712	16	com.kenai.constantine.Constant[]
1704	71	org.jruby.runtime.callsite.RespondToCallSite
1696	106	java.util.HashMap$KeySet
1696	53	org.jruby.ast.CallManyArgsNode
1680	42	org.jruby.ast.ForNode
1664	52	org.jruby.RubyTime
1632	68	org.jruby.ast.Match3Node
1632	10	double[]
1632	68	org.jruby.cext.Handle
1624	29	java.util.jar.JarFile
1608	67	org.jruby.ast.FCallManyArgsNode
1560	65	java.util.LinkedList
1520	72	com.kenai.jffi.Type[]
1512	63	rubyobj.Gem.Dependency
1488	31	java.lang.Package
1488	62	org.jruby.ast.GlobalAsgnNode
1472	92	java.security.ProtectionDomain[]
1440	60	java.io.ExpiringCache$Entry
1440	90	org.jruby.ast.ToAryNode
1408	22	org.jruby.javasupport.Java$JavaProxyClassMethods$s$java_alias
1408	22	org.jruby.javasupport.Java$JavaProxyClassMethods$s$java_method
1408	44	org.jruby.runtime.scope.DummyDynamicScope
1408	22	org.jruby.javasupport.Java$JavaProxyClassMethods$s$java_send
1408	16	org.jruby.java.invokers.ConstructorInvoker
1376	86	com.kenai.constantine.platform.Errno
1368	57	org.jruby.ast.FCallNoArgBlockNode
1344	56	org.jruby.ast.YieldNode
1312	41	org.jruby.lexer.yacc.RubyYaccLexer$Keyword
1280	40	org.jruby.ast.DRegexpNode
1280	32	sun.misc.Cleaner
1248	78	java.util.concurrent.ConcurrentHashMap$EntrySet
1248	52	org.jruby.common.IRubyWarnings$ID
1248	26	org.jruby.internal.runtime.methods.SimpleCallbackMethod
1248	52	org.joda.time.DateTime
1240	31	org.jruby.ast.OpElementOneArgOrAsgnNode
1224	51	org.jruby.RubyArray$8
1216	19	org.jruby.java.proxies.JavaInterfaceTemplate$s$0$0$rbNew
1216	19	org.jruby.java.proxies.JavaInterfaceTemplate$s$1$0$append_features
